"date","type","likes_count_fb","comments_count_fb","shares_count_fb","sentiment","valence","post_link"
"2015-11-23","link",385,530,81,"negative",-1,"https://www.facebook.com/77249349077/posts/10153831446724078"
"2015-11-24","link",923,894,425,"negative",-1,"https://www.facebook.com/77249349077/posts/10153833879339078"
"2015-11-25","photo",983,537,206,"positive",1,"https://www.facebook.com/77249349077/posts/10153835175844078"
"2015-11-25","video",322,172,92,"neutral",0,"https://www.facebook.com/77249349077/posts/10153835694974078"
"2015-11-25","photo",929,343,221,"neutral",0,"https://www.facebook.com/77249349077/posts/10153835781174078"
"2015-11-26","link",671,170,103,"positive",1,"https://www.facebook.com/77249349077/posts/10153837035849078"
"2015-11-26","photo",1253,735,365,"positive",5,"https://www.facebook.com/77249349077/posts/10153837045399078"
"2015-11-27","video",606,180,154,"neutral",0,"https://www.facebook.com/77249349077/posts/10153839517464078"
"2015-11-27","link",306,206,46,"neutral",0,"https://www.facebook.com/77249349077/posts/10153839946164078"
"2015-11-29","link",816,320,232,"neutral",0,"https://www.facebook.com/77249349077/posts/10153843061359078"
"2015-11-29","photo",1132,773,0,"neutral",0,"https://www.facebook.com/77249349077/posts/10153843254639078"
"2015-12-01","photo",1003,388,265,"neutral",0,"https://www.facebook.com/77249349077/posts/10153847087744078"
"2015-12-02","photo",922,249,200,"neutral",0,"https://www.facebook.com/77249349077/posts/10153848693599078"
"2015-12-02","photo",5407,874,1059,"neutral",0,"https://www.facebook.com/77249349077/posts/10153848873514078"
"2015-12-02","link",1702,523,229,"positive",8,"https://www.facebook.com/77249349077/posts/10153848988404078"
"2015-12-02","photo",7611,2452,5133,"neutral",0,"https://www.facebook.com/77249349077/posts/10153849720154078"
"2015-12-03","link",817,298,205,"negative",-5,"https://www.facebook.com/77249349077/posts/10153851262054078"
"2015-12-04","photo",1431,287,360,"neutral",0,"https://www.facebook.com/77249349077/posts/10153852885369078"
"2015-12-04","link",268,506,48,"positive",1,"https://www.facebook.com/77249349077/posts/10153853384634078"
"2015-12-06","link",1426,674,266,"negative",-1,"https://www.facebook.com/77249349077/posts/10153857155674078"
"2015-12-07","link",976,431,237,"positive",7,"https://www.facebook.com/77249349077/posts/10153859158329078"
"2015-12-07","link",224,656,39,"positive",7,"https://www.facebook.com/77249349077/posts/10153859575444078"
"2015-12-08","photo",511,527,0,"neutral",0,"https://www.facebook.com/77249349077/posts/10153860899164078"
"2015-12-09","photo",154,77,50,"negative",-1,"https://www.facebook.com/77249349077/posts/10153863081754078"
"2015-12-09","photo",1954,514,0,"neutral",0,"https://www.facebook.com/77249349077/posts/10153863271204078"
"2015-12-09","photo",676,739,163,"positive",1,"https://www.facebook.com/77249349077/posts/10153863477804078"
"2015-12-10","photo",1387,556,370,"negative",-2,"https://www.facebook.com/77249349077/posts/10153865662599078"
"2015-12-11","link",504,589,59,"positive",1,"https://www.facebook.com/77249349077/posts/10153867822084078"
"2015-12-13","video",2187,354,0,"neutral",0,"https://www.facebook.com/77249349077/posts/10153871700214078"
"2015-12-13","link",607,1136,248,"positive",5,"https://www.facebook.com/77249349077/posts/10153871786349078"
"2015-12-14","photo",828,355,226,"negative",-2,"https://www.facebook.com/77249349077/posts/10153874254334078"
"2015-12-15","link",604,295,93,"negative",-1,"https://www.facebook.com/77249349077/posts/10153875659984078"
"2015-12-15","photo",2538,409,935,"neutral",0,"https://www.facebook.com/77249349077/posts/10153875883429078"
"2015-12-16","photo",385,156,0,"neutral",0,"https://www.facebook.com/77249349077/posts/10153877450479078"
"2015-12-16","photo",1003,683,278,"neutral",0,"https://www.facebook.com/77249349077/posts/10153877658624078"
"2015-12-16","photo",1216,502,426,"neutral",0,"https://www.facebook.com/77249349077/posts/10153877957939078"
"2015-12-16","link",752,552,220,"negative",-1,"https://www.facebook.com/77249349077/posts/10153877987644078"
"2015-12-16","photo",465,1181,257,"negative",-1,"https://www.facebook.com/77249349077/posts/10153878182944078"
"2015-12-18","link",378,1191,50,"positive",2,"https://www.facebook.com/77249349077/posts/10153882877019078"
"2015-12-22","link",893,458,0,"neutral",0,"https://www.facebook.com/77249349077/posts/10153893296714078"
"2015-12-24","video",941,904,0,"neutral",0,"https://www.facebook.com/77249349077/posts/10153897888139078"
"2015-12-29","link",750,1096,0,"neutral",0,"https://www.facebook.com/77249349077/posts/10153909295994078"
"2016-01-02","link",727,847,122,"positive",10,"https://www.facebook.com/77249349077/posts/10153919022964078"
"2016-01-02","photo",572,280,0,"neutral",0,"https://www.facebook.com/77249349077/posts/10153919736429078"
"2016-01-03","link",1646,800,258,"positive",8,"https://www.facebook.com/77249349077/posts/10153920449689078"
"2016-01-05","photo",893,278,625,"positive",1,"https://www.facebook.com/77249349077/posts/10153925060094078"
"2016-01-05","photo",572,200,0,"neutral",0,"https://www.facebook.com/77249349077/posts/10153925262244078"
"2016-01-05","link",679,603,110,"positive",5,"https://www.facebook.com/77249349077/posts/10153925435594078"
"2016-01-06","link",691,636,103,"positive",4,"https://www.facebook.com/77249349077/posts/10153927667969078"
"2016-01-07","link",299,268,86,"negative",-1,"https://www.facebook.com/77249349077/posts/10153929113139078"
"2016-01-07","video",2724,519,0,"neutral",0,"https://www.facebook.com/77249349077/posts/10153929448159078"
"2016-01-07","link",408,386,44,"negative",-1,"https://www.facebook.com/77249349077/posts/10153929821349078"
"2016-01-07","link",2169,513,421,"positive",9,"https://www.facebook.com/77249349077/posts/10153929964309078"
"2016-01-08","link",303,252,37,"neutral",0,"https://www.facebook.com/77249349077/posts/10153931877374078"
